ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
-2.4653,-19.259,-16.344,-2.5003,-10.146,-19.968,-0.77977,0.20495,1.066,3031595,2021-05-02 14:22:27:797,Jogging
1.4438,-5.884,-14.969,2.3158,2.572,-10.079,-2.5262,-1.7266,0.79474,3031596,2021-05-02 14:22:27:798,Jogging
8.2676,5.4618,2.1248,7.7697,13.86,7.1637,-1.3827,-4.9193,-0.32376,3031597,2021-05-02 14:22:27:799,Jogging
4.413,-9.221,11.564,0.59585,-0.198,11.133,-1.9548,5.1362,1.4966,3031598,2021-05-02 14:22:27:800,Jogging
-1.3076,-17.747,-14.506,-4.9744,-8.6629,-14.951,0.69486,-1.1606,-1.8561,3031599,2021-05-02 14:22:27:801,Jogging
-1.58,-13.471,16.671,-3.2966,-4.0644,14.492,2.6276,5.7223,-1.6463,3031600,2021-05-02 14:22:27:802,Jogging
-4.5356,-13.988,8.8805,-5.4237,-4.637,6.0629,4.6875,4.8344,-0.19761,3031601,2021-05-02 14:22:27:803,Jogging
-5.8159,-15.091,7.2188,-5.933,-5.784,4.1317,5.2269,4.4486,0.62522,3031602,2021-05-02 14:22:27:804,Jogging
4.127,-19.355,12.313,4.635,-10.368,8.4206,6.6407,3.4245,3.0415,3031603,2021-05-02 14:22:27:805,Jogging
18.387,-19.504,-0.1362,19.583,-11.099,-5.0454,5.1084,-0.25381,-1.0363,3031604,2021-05-02 14:22:27:806,Jogging
0.9398,-18.224,-15.772,1.0077,-10.605,-21.946,5.4434,-5.3503,-3.7654,3031605,2021-05-02 14:22:27:807,Jogging
0.35413,-19.205,-15.977,-0.050421,-11.844,-22.444,2.9309,-2.8283,-0.78038,3031606,2021-05-02 14:22:27:808,Jogging
-10.787,-14.71,-12.83,-11.442,-7.6911,-19.648,2.5024,3.2049,-1.5342,3031607,2021-05-02 14:22:27:809,Jogging
-4.985,2.7377,-10.202,-4.0974,11.94,-6.9303,3.5055,5.4972,0.47525,3031608,2021-05-02 14:22:27:810,Jogging
7.5593,3.4459,1.0215,7.7415,12.678,4.3235,0.19181,6.1899,0.68203,3031609,2021-05-02 14:22:27:811,Jogging
6.7966,-0.70826,-0.12258,5.206,8.4965,2.8628,0.043982,3.2516,0.3821,3031610,2021-05-02 14:22:27:812,Jogging
4.5628,-2.1929,-5.6933,2.4943,6.7233,-2.173,-0.16554,-4.9889,-0.10568,3031611,2021-05-02 14:22:27:813,Jogging
-0.42223,-0.76274,-8.0224,-2.3269,7.7904,-3.6194,-0.12034,-4.7647,-0.011606,3031612,2021-05-02 14:22:27:814,Jogging
-3.1463,0.61292,-8.0905,-3.8836,8.0869,-1.7844,-1.1454,-0.34178,0.25351,3031613,2021-05-02 14:22:27:815,Jogging
1.3757,-1.2531,-1.471,0.44601,6.1762,4.8624,-2.507,0.84147,0.61728,3031614,2021-05-02 14:22:27:816,Jogging
2.7104,-2.4517,-0.38137,1.3657,5.0801,5.7533,-2.7608,0.50702,0.48778,3031615,2021-05-02 14:22:27:817,Jogging
-1.1169,-7.6955,0.5993,-2.1471,0.67269,5.6075,-3.0577,-1.2639,0.69822,3031616,2021-05-02 14:22:27:818,Jogging
-0.85808,-14.805,-0.12258,-1.5445,-5.8769,3.8753,-3.5094,-2.2092,0.93523,3031617,2021-05-02 14:22:27:819,Jogging
-1.1441,-19.382,-1.0079,-1.4315,-9.9139,1.5311,-4.8823,-2.4218,1.6417,3031618,2021-05-02 14:22:27:820,Jogging
-10.229,-19.532,-6.3198,-9.9544,-10.371,-2.829,-5.2818,-7.0796,1.7966,3031619,2021-05-02 14:22:27:821,Jogging
-10.229,-19.532,-6.3198,-9.9544,-10.371,-2.829,-5.0723,-7.0796,1.7966,3031620,2021-05-02 14:22:27:822,Jogging
16.385,-19.532,1.4982,17.151,-10.45,5.1187,-4.8454,2.1823,2.5226,3031621,2021-05-02 14:22:27:823,Jogging
15.99,-19.532,1.7434,16.865,-10.626,5.7559,-4.8753,-2.6099,0.65943,3031622,2021-05-02 14:22:27:824,Jogging
10.801,-15.868,3.1191,8.4556,-6.4811,4.7197,-4.7312,-3.5262,0.65668,3031623,2021-05-02 14:22:27:825,Jogging
3.5004,-6.1836,3.7728,1.004,3.2185,5.0127,-2.8631,-5.2663,0.40439,3031624,2021-05-02 14:22:27:826,Jogging
-5.6116,5.9657,4.0861,-7.6803,15.538,4.6033,-1.3827,-3.5241,-0.14478,3031625,2021-05-02 14:22:27:827,Jogging
-3.1872,5.2847,5.9793,-5.0158,14.918,5.7947,0.63286,-1.1316,-0.94745,3031626,2021-05-02 14:22:27:828,Jogging
1.8932,6.5786,8.8941,-0.57155,15.605,5.9588,1.7733,-0.48045,-1.3873,3031627,2021-05-02 14:22:27:829,Jogging
1.471,6.9464,8.7715,-1.4049,14.968,3.9175,2.1188,-0.14264,-1.6237,3031628,2021-05-02 14:22:27:830,Jogging
1.3212,4.413,6.4152,-2.0632,9.4253,-1.3045,2.6053,1.8579,-2.2071,3031629,2021-05-02 14:22:27:831,Jogging
0.1362,1.1441,2.261,-3.1708,5.7103,-5.763,2.861,4.0876,-2.3283,3031630,2021-05-02 14:22:27:832,Jogging
-2.152,-0.20431,-5.5162,-5.3112,5.1683,-13.088,2.2181,5.1004,-1.9157,3031631,2021-05-02 14:22:27:833,Jogging
-4.4539,-6.8919,-9.8748,-6.1894,1.6629,-14.344,1.2034,4.3326,-0.7025,3031632,2021-05-02 14:22:27:834,Jogging
-2.0839,-18.251,-15.486,-3.4789,-9.7801,-20.226,-0.96883,-0.62766,0.9053,3031633,2021-05-02 14:22:27:835,Jogging
